Headline,Day,Published_Date,Published_Region,Timings,Meetings
Alcoholics Anonymous meetings,Thursday,2012-07-05,TAMIL NADU,"['8.30 p.m.', '8 p.m.', '7 p.m.', '8.30 p.m.']"," Anonymous, a group to aid rehabilitation of alcoholics, will hold meetings at the following places in the city.
Those who would like to participate in the meetings can contact the organisers, a press release says.
Monday: Divine Mercy Church, Kuniyamuthur (96009 02250)
Tuesday : C.M.S. School, Ganapathy (99447 77648)
Wednesday: St. Fathima Church, Dr. Radhakrishnan Road, Gandhipuram (86751 12257)
Thursday: Francis Xavier Church, Sowripalayam (88709 78709)
Friday: C.M.S. School, Ganapathy (98946 99851)
Saturday (7.30 p.m. to 8.30 p.m.): St. John De Britto Church, Thadagam Road, R.S. Puram (72000 58738)
Sunday (6.30 p.m. to 8 p.m.): St. Fathima Church, Gandhipuram, (81241 56563)
The meetings will be held from 7 p.m. to 8.30 p.m. on weekdays, the press release adds."
The ‘highs’ and ‘lows’ of addiction,Tuesday,2012-07-03,KARNATAKA,[],"It’s an abysmal low that takes away more than the ‘ultimate high’ can ever give. This was the message given to those gathered at the one-day workshop on “Advocacy of drug abuse prevention” held at Prajna Counselling Centre here on Monday.
In the sessions that were devoid of district-level officials, all of whom backed out from participating in the programme, it was the stories of ex-addicts that lucidly illustrated the ill-effects of drug abuse.
William (name changed) said his journey into Corex (a cough syrup) addiction started when he was a law student. “You start off by thinking that what affects everyone else cannot affect you. As an educated person, I started seeing it as something ‘progressive’ people do,” he said.
What he called the “ultimate high” after the first bottle he consumed, soon turned into 11 bottles a day with lesser highs. “I had to have a bottle just to feel normal,” he said and added that during the four-year period of addiction, he was transformed from a school topper to someone who fared badly in law examinations.
His descent ultimately affected his heart. In 2007, after he was found having multiple blocks in his heart, he joined Narcotics Anonymous – a therapeutic group for addicts by ex-addict. Since then, he says he hasn’t looked back.
For Suresh (name changed), alcoholism came despite seeing it ravage his abusive uncle. However, through a series of reasons – including loneliness at staying away from his family, pressures of the job, and even the weather – he took to the bottle. In the 10-year period of heavy drinking, which also involved an accident – “I was drunk and blacked out. I don’t recall how the accident happened. All I know is that I woke up three days later in the hospital,” he said – his family had been reduced to penury. “I was the only earning member and I had spent it all on alcohol,” he said.
Eventually, he was forced into Prajna counselling centre for rehabilitation. Nearly 20 years later, he says he lives to tell the tale to a whole new generation of people.
Younger and younger
The workshop, organised in association with Ministry of Social Justice and Empowerment, Government of India, sought to highlight the dangers of substance abuse.
Hilda Rayappan of the Prajna Counselling Centre said the demographic of addicts coming to the centre was getting younger. “Children now do marijuana, alcohol, sniff whitener, and other substances. It starts because their peers do it, or they steal drinks from their parents,” she said and added that being hooked to a mobile or the television could be considered addiction among the younger generation.
Debunking the myth of women not being addicts, she said: “In the district, there is a greater chance that a woman ends up being an alcoholic. It is tradition here to give her alcohol for 40 days after delivery of her child, and also, here it is generally the women who prepare local toddy,” Ms. Rayappan said."
Workshop on drug abuse tomorrow,Sunday,2012-07-01,KARNATAKA,[], Anonymous and Narcotics Anonymous in recovery.
Slew of programmes against drug abuse,Wednesday,2012-06-27,KERALA,[]," Anonymous, Kozhikode.
P.N. Suresh Kumar, joint convener of the IMA State committee for Mental Health, delivered the keynote address.
The anti-drug abuse campus club of the Kerala Lahari Virudha Vedi was inaugurated by District Collector K.V. Mohankumar at a programme at Holy Cross College. It is supported by the Prashanthi de-addiction centre.
Our Responsibility to Children (ORC) joined hands with IMHANS to organise a programme at the new bus-stand in the city. It was inaugurated by City Police Commissioner Sparjan Kumar. He administered an anti-addiction oath.
The school theatre of Government Boys’ Higher Secondary School and the PTA of the school presented a street play.
The Department of Excise, in association with the Milieu Institutional Psychotherapy Centre, presented a play against drug abuse at CMC Boys’ High School, Elathur. A film show against addiction was organised at BEM Upper Primary School, Bilathikulam.
District Collector K.V. Mohan Kumar flagged off a mass run by the Student Police Cadets from the New Bus Stand to Mananchira.
Awareness class, poster competition, poster exhibition, CD exhibition, and street plays were part of the day’s programmes at Rahmania Higher Secondary School for the Handicapped.
The Muslim Service Society Youth Wing and the Sarangi School of Music organised awareness programmes and poster exhibition.
A school-level vigilance committee against drugs was inaugurated at a programme organised at Government TTI. Essay and painting competitions for students were also held."
"20,000 alcoholics in Kerala need urgent help",Saturday,2012-05-05,KERALA,[]," Anonymous, a global front that works among alcoholics, has said.
The anti-alcoholism group is celebrating the 55th anniversary of its presence in Kerala at Feroke Grama Panchayat Community Hall on Saturday. The group came to the State in the 1960s but has been active only since the last 20 years.
Now, there are 200 groups in Kerala, 12 inter-groups and a state committee. Disclosing the data about the number of alcoholics in Kerala needing urgent attention, the AA says even medicine cannot at times help to overcome the desire to consume alcohol but the 12- point life style proposed by the forum could help to go on without alcohol for a long time.
Contact
The formula of AA includes sharing experiences, strengths and ambitions among fellow alcoholics to find solution to the problems. Those interested in availing themselves of AA's help could contact the forum at 8590240240 or 9349610022."
Game changer,Thursday,2012-04-26,METRO PLUS,[],"Really, this is a beautiful story. How a man chases his love for rolling out cocktails to friends and ends up mass-producing ready-to-drink blends, giving many of us a much-needed option to hold a fabulous desi-made cocktail at last.
Mumbai-native Desmond Nazareth is an alumnus of IIT, Madras, and lived the dream of a software professional in the land of Uncle Sam for 18 years. In 2000, he returned home, to friends who gave him the post of their designated cocktail maker, because he liked it. He went from store to store looking for liqueurs. Some he got, some not. But what he got turned out to be super pricey.
That led him to the invention of some classy, home-grown Margaritas and cocktail bases. The idea came when he was looking for a bottle of Tequila, “I thought, why is Tequila produced in just one country (Mexico) whereas other equally popular alcoholic beverages have multiple producers in multiple countries?”
Research soon led Desmond to his “aha” moment. “I saw photos of the blue Agave used in Mexico for Tequila and was sure I had seen similar plants growing in India during my childhood.” On tracing the latitude lines in a world map for the Agave growing regions, he found, “They crossed right through the Deccan Plateau!”
Desmond continued to dig for the next few years and collected enough information before landing up in Goa “to meet the right people” with whom he set off on a trip to the Deccan. “I carried with me all my data files and lo and behold, we found the blue-green Agave!” he recalls.
This discovery changed Desmond — from being a number in the software industry to someone whose enterprise led to the creation of DesmondJi, the brand he named to produce ready-to-drink Margarita, Blue Margarita, 100% Agave and 51% Agave. Don't miss the suffix ‘Ji' in his brand name. This is “to underline the use of Indian raw materials and technical ingenuity.” It is also to match the likes of international brands Johnnie Walker, Chivas, Jack Daniel's, Smirnov, etc., named after their founders. “However since the 1900s, innovation in spirits and liqueurs has become largely corporatised, with products mainly being created by anonymous groups of people in laboratories. So it has been a while since there has been any personal name branding in the alcoholic beverage space, especially in India. So DesmondJi is a bold departure for a start-up like ours, in which my first name ‘Desmond' speaks to a truth behind the brand,” he explains.
DesmondJi has a micro-distillery site in rural Andhra Pradesh and a bottling unit in Goa. Currently, the products are available only in Goa and Daman. Self distribution has been an uphill task. “Whether you sell only thousand bottles or one million, the Excise rules are the same. For every brand to enter the Delhi market, we have to shell out Rs. 6 lakhs per year.” Though through word of mouth, some business houses have pumped in money into it. Desmond says, “We will soon be available in Maharashtra and may be Karnataka.” About the difference between Tequila and his Agaves, Desmond clarifies, “Tequila and Mezcal are Geographical Indications in Mexico owned by their Government. This means that only Agave spirits produced from specific species of Agave grown in specified regions of Mexico and governed by specific rules can be called Tequilas and Mezcals. Our Agave spirits are made from the species that grows on the Deccan Plateau and has been planted in India for well over a hundred years.”
Desmond's Margarita blends need only lime and ice, and are easy to make at home and in bars. Each 750 ml bottle for Rs. 495 makes 15 Margaritas. “You can also add fruits juices, ideally fresh, to our blends and even add tender coconut, sugarcane and cucumber juice.” The Agave blends “are great for shots and making cocktails.”
Talking about his enterprise, Desmond says, “From custom designing the equipment, buildings, the bottles; from training the staff to fighting the system, I have gone through all. I have also gained friends in the process. Rest I shall talk in my autobiography!”
(For more information, you can log on to Desmond Nazareth's just launched website www.desmondji.com)
SANGEETA BAROOAH PISHAROTY"
Game changer,Wednesday,2012-04-25,METRO PLUS,[],"Really, this is a beautiful story. How a man chases his love for rolling out cocktails to friends and ends up mass-producing ready-to-drink blends, giving many of us a much-needed option to hold a fabulous desi-made cocktail at last.
Mumbai-native Desmond Nazareth is an alumnus of IIT, Madras, and lived the dream of a software professional in the land of Uncle Sam for 18 years. In 2000, he returned home, to friends who gave him the post of their designated cocktail maker, because he likes doing it. He went from store to store looking for liqueurs. Some he got, some not. But what he got turned out to be super pricey.
Then passed a thought in his mind which led him to the invention of some classy, home-grown Margaritas and cocktail bases. The thought came when he was looking for a bottle of Tequila, “I thought, why is Tequila produced in just one country (Mexico) whereas other equally popular alcoholic beverages have multiple producers in multiple countries?”
Research soon led Desmond to his “aha” moment. “I saw photos of the blue Agave used in Mexico for Tequila and was sure I had seen similar plants growing in India during my childhood.” On tracing the latitude lines in a world map for the Agave growing regions, he found, “They crossed right through the Deccan Plateau!”
Desmond continued to dig for the next few years and collected enough information before landing up in Goa (where he shifted later) “to meet the right people” with whom he set off on a trip to the Deccan. “I carried with me all my data files and lo and behold, we found the blue-green Agave some within the day!” he recalls.
This discovery changed Desmond — from being a number in the software industry to someone whose enterprise led to the creation of DesmondJi, the brand he named to produce ready-to-drink Margarita, Blue Margarita, 100% Agave and 51% Agave. Don't miss the suffix ‘Ji' in his brand name. This is “to underline the use of Indian raw materials and technical ingenuity.” It is also to match the likes of international brands Johnnie Walker, Chivas, Jack Daniel's, Smirnov, etc., named after their founders. “However since the 1900s, innovation in spirits and liqueurs has become largely corporatised, with products mainly being created by anonymous groups of people in laboratories. So it has been a while since there has been any personal name branding in the alcoholic beverage space, especially in India. So DesmondJi is a bold departure for a start-up like ours, in which my first name ‘Desmond' speaks to a truth behind the brand,” he highlights.
DesmondJi has a micro-distillery site in rural Andhra Pradesh and a bottling unit in Goa. Currently, the products are available only in Goa and Daman. Self distribution has been an uphill task. “Whether you sell only thousand bottles or one million, the Excise rules are the same. For every brand to enter the Delhi market, we have to shell out Rs. 6 lakhs per year.” Though through word of mouth, some business houses have pumped in money into it and Desmond says, “We will soon be available in Maharashtra and may be Karnataka.” About the difference between Tequila and his Agaves, Desmond clarifies, “Tequila and Mezcal are Geographical Indications in Mexico owned by their Government. This means that only Agave spirits produced from specific species of Agave grown in specified regions of Mexico and governed by specific rules can be called Tequilas and Mezcals. Our Agave spirits are made from the species that grows on the Deccan Plateau and has been planted in India for well over a hundred years.”
Desmond's Margarita blends need only lime and ice, “easy to make at home and in bars.” Each 750 ml bottle for Rs. 495 makes 15 Margaritas. “You can also add fruits juices, ideally fresh, to our blends and even add tender coconut, sugarcane and cucumber juice.” The Agave blends “are great for shots and making cocktails.”
Signing off, Desmond says, in the last 11 years he has learnt to pat himself more often. “From custom designing the equipment, buildings, the bottles; from training the staff to fighting the system, I have gone through all. I have also gained friends in the process. Rest I shall talk in my autobiography!”
(For more information, you can log on to Desmond Nazareth's just launched website www.desmondji.com)
SANGEETA BAROOAH PISHAROTY"
Margarita man,Tuesday,2012-04-24,METRO PLUS,[],"Really, this is a beautiful story. How a man chases his love for rolling out cocktails to friends and ends up mass-producing ready-to-drink blends, giving many of us a much-needed option to hold a fabulous desi -made cocktail at last.
Mumbai-native Desmond Nazareth is an alumnus of IIT, Madras, and lived the dream of a software professional in the land of Uncle Sam for 18 years. Though till then, he was yet another number in the Great Indian Brain Drain story. In 2000, he returned home, to friends who gave him the post of their designated cocktail maker, because he likes doing it. He went from store to store looking for liqueurs. But what he got turned out to be expensive.
Then passed a thought in his mind which led him to the invention of some home-grown Margaritas and cocktail bases. The thought came when he was looking for a bottle of tequila, “I thought why is tequila produced in just one country (Mexico) whereas other equally popular beverages (wine, beer, rum, whiskey) have multiple producers in multiple countries?”
Research soon led Desmond to his “aha” moment. “I saw photos of the blue Agave used in Mexico for Tequila and was sure I had seen similar plants growing in India during my childhood.” On tracing the latitude lines in a world map for the Agave growing regions, he found, “They crossed right through the Deccan Plateau!”
Desmond continued to dig for the next few years and collected enough information before landing up in Goa (where he shifted later) “to meet the right people” with whom he set off on a trip to the Deccan. “I carried with me all my data files and lo and behold, we found the blue-green Agave within the day!” he recalls.
This discovery changed Desmond from being a number in the software industry to someone whose enterprise led to the creation of DesmondJi, the brand he named to produce ready-to-drink Margarita, Blue Margarita, 100 per cent Agave and 51 per cent Agave. In a country dependent on foreign brands for cocktails, DesmondJi is definitely a game changer. “We will soon launch Orange Liqueur made of Nagpur orange and Blue Curaçao,” he adds.
Don't miss the suffix ‘Ji' in his brand name. This is “to underline the use of Indian raw materials and technical ingenuity.” It is also to match the likes of international brands such as Johnnie Walker, Chivas, Jack Daniel's, Smirnov named after their founders. “However since the 1900s, innovation in spirits and liqueurs has become largely corporatised, with products mainly being created by anonymous groups of people in laboratories. So it has been a while since there has been any personal name branding in the alcoholic beverage space, especially in India,” he says.
DesmondJi has a micro-distillery site in rural Andhra Pradesh and a bottling unit in Goa. Currently, the products are available only in Goa and Daman. “We had signed a distribution agreement with Sula Wines according to which they were to make our products available by last October. They didn't, so we are trying to distribute it ourselves,” he says. However, it has been an uphill task. “Whether you sell only thousand bottles or one million, the Excise rules are the same. For every brand to enter the Delhi market, we have to shell out Rs. 6 lakhs per year. Where do we generate so much money from? It is unfair,” he says. Though through word of mouth, some business houses have pumped in money into it and Desmond says, “We will soon be available in Maharashtra and may be Karnataka.”
Desmond's Margarita blends need only lime and ice, “easy to make at home and in bars.” Each 750 ml. bottle for Rs. 495 makes 15 glasses of Margaritas. “You can also add fruits juices, ideally fresh, to our blends and even add tender coconut, sugarcane and cucumber juice.” The Agave blends “are great for shots and cocktails.”
Signing off, Desmond says, in the last 11 years he has learnt to pat himself more often. “From custom designing the equipment, buildings, the bottles; from training the staff to fighting the system, I have gone through it all. I have also gained friends in the process. Rest I shall talk in my autobiography!”
SANGEETA BAROOAH PISHAROTY
(For more information, you can log on to Desmond Nazareth's website www.desmondji.com)"
Game changer,Saturday,2012-04-21,METRO PLUS,[],"Really, this is a beautiful story. How a man chases his love for rolling out cocktails to friends and ends up mass-producing ready-to-drink blends, giving many of us a much-needed option to hold a fabulous desi-made cocktail at last.
Mumbai-native Desmond Nazareth is an alumnus of IIT, Madras, and lived the dream of a software professional in the land of Uncle Sam for 18 years. Though till then, he was yet another number in the Great Indian Brain Drain story. In 2000, he returned home, to friends who gave him the post of their designated cocktail maker, because he likes doing it. He went from store to store looking for liqueurs. Some he got, some not. But what he got turned out to be super pricey.
Then passed a thought in his mind which went on to change not his job line but led him to the invention of some classy, home-grown Margaritas and cocktail bases. The thought came when he was looking for a bottle of Tequila, “I thought why is Tequila produced in just one country (Mexico) whereas other equally popular alcoholic beverages have mulitple producers in multiple countries?”
Research soon led Desmond to his “aha” moment. “I saw photos of the blue Agave used in Mexico for Tequila and was sure I had seen similar plants growing in India during my childhood.” On tracing the latitude lines in a world map for the Agave growing regions, he found, “They crossed right through the Deccan Plateau!”
Desmond continued to dig for the next few years and collected enough information before landing up in Goa (where he shifted later) “to meet the right people” with whom he set off on a trip to the Deccan. “I carried with me all my data files and lo and behold, we found the blue-green Agave some within the day!” he recalls.
This discovery changed Desmond — from being a number in the software industry to someone whose enterprise led to the creation of DesmondJi, the brand he named to produce ready-to-drink Margarita, Blue Margarita, 100% Agave and 51% Agave. In a country dependent on foreign brands for cocktails, DesmondJi is definitely a game changer. “We will soon launch Orange Liqueur made of Nagpur orange and Blue Curaçao,” he adds helpfully.
Don't miss the suffix ‘Ji' in his brand name. This is “to underline the use of Indian raw materials and technical ingenuity.” It is also to match the likes of international brands Johnnie Walker, Chivas, Jack Daniel's, Smirnov, etc., named after their founders. “However since the 1900s, innovation in spirits and liqueurs has become largely corporatised, with products mainly being created by anonymous groups of people in laboratories. So it has been a while since there has been any personal name branding in the alcoholic beverage space, especially in India. So DesmondJi is a bold departure for a start-up like ours, in which my first name ‘Desmond' speaks to a truth behind the brand,” he highlights.
DesmondJi has a micro-distillery site in rural Andhra Pradesh and a bottling unit in Goa. Currently, the products are available only in Goa and Daman. “We had signed a distribution agreement with Sula Wines according to which they were to make our products available by last October. They didn't, so we trying to distribute it ourselves,” he says. However, it has been an uphill task. “Whether you sell only thousand bottles or one million, the Excise rules are the same. For every brand to enter the Delhi market, we have to shell out Rs. 6 lakhs per year. Where do we generate so much money from? It is unfair,” he says. Though through word of mouth, some business houses have pumped in money into it and Desmond says, “We will soon be available in Maharashtra and may be Karnataka.”
About the difference between Tequila and his Agaves, Desmond clarifies, “Tequila and Mezcal are Geographical Indications in Mexico owned by their Government. This means that only Agave spirits produced from specific species of Agave grown in specified regions of Mexico and governed by specific rules can be called Tequilas and Mezcals. Our Agave spirits are made from the species that grows on the Deccan Plateau and has been planted in India for well over a hundred years.”
Desmond's Margarita blends need only lime and ice, “easy to make at home and in bars.” Each 750 ml bottle for Rs. 495 makes 15 Margaritas. “You can also add fruits juices, ideally fresh, to our blends and even add tender coconut, sugarcane and cucumber juice.” The Agave blends “are great for shots and making cocktails.”
Signing off, Desmond says, in the last 11 years he has learnt to pat himself more often. “From custom designing the equipment, buildings, the bottles; from training the staff to fighting the system, I have gone through all. I have also gained friends in the process. Rest I shall talk in my autobiography!”
(For more information, you can log on to Desmond Nazareth's just launched website >www.desmondji.com)"
Big brothers and sisters,Saturday,2012-04-14,METRO PLUS,[],"Zipping down the Beach Road on their motorbikes, feverishly tweeting and texting, or gossiping over soft drinks at multiplexes — if this is the image you have of today's youth, remember there is also a flip side. Many young people are creative, knowledgeable and keen to do something for society.
The Hindu Metro Plus team recently met about 100 students from various degree and professional colleges who have taken up the onerous task of eradicating child begging. The students have joined an organisation called Generation YUVAA (Youth Unearthing Verve and Aspirations), floated by B. Naresh Kumar, a biotechnology engineer from a leading college. He founded the organisation immediately after passing out in 2007, with the idea of doing something for the less privileged children of the city. He overlooked lucrative offers to take up this task full time.
Taking a cue from Tagore's famous song ‘Jodi Tor Daak Shune Keu Na Ase Tobe Ekla Chalo Re', Naresh started off alone and within three months about 30 students from various colleges joined him. “Today, we have about 1,500 volunteers, out of which over 150 of them are very active,” he says.
Their slogan is very simple: “Your coin can ruin someone's life.” The basic idea is to eradicate child begging by discouraging people from supporting it. Every Sunday or on public holidays volunteers hold up placards and distribute pamphlets at major traffic junctions such as NAD Kotha Road, Satyam Junction and Beach Road to create awareness on the issue.
It is estimated that there are 150 million to 200 million street children across the globe and India heads the list. An officer from the Government Children Home for Boys, who chose to speak anonymously, says this city itself could have about 1,500 street children begging at the railway station, bus stations, traffic junctions, Kancharapalem flyover and other locations, or employed in various hazardous professions.
Solomon George, a recent graduate from an engineering college and Treasurer of Generation YUVAA, says that when we give a coin to a child beggar we encourage him to continue the profession and thereby curtail his growth.
He adds that most of these children are either orphans or are trafficked children. “They hail from the BPL segment and have taken up begging, as money flows in easily without any effort. By taking up begging for a couple of hours, they earn more than Rs. 300 a day. Most of them are addicted to the sniffing of whitener eraser fluids or alcohol or some form of drugs,” he says.
The team of volunteers not only try to bring awareness, but also counsel the children and send them to children's homes or to their own respective homes, to wean them from begging. They play games with the children, organise cultural programmes or quizzes for them, and teach them.
“Every Sunday we visit a children's home to spend some time with them,” says Bharghav, an engineering student and volunteer. “Education is the key factor by which we can wean them from such professions and habits. We try to impart quality and holistic education. Apart from the daily academic stuff, we teach other aspects of life and how to become a good citizen and good human being,” he says.
The ultimate mission of YUVAA is to own a full-fledged home for street children. To begin with they have adopted two children, Ganesh and Ashok. Ganesh is an orphan, and Ashok has lost his father. Both about five years old, they live at the home provided by team YUVAA at Marripalem. For the children the volunteers are ‘annas and akkas' (brothers and sisters).
“We believe in bringing up the children with love and affection,” says Naresh. “We do not want them to miss their parents. In most of the government homes, the elements of love and affection are missing.”
“We have procured land near Pendurthi and we intend to set up a home that can house at least 150 children,” he adds. Naresh has also initiated a handicraft showroom called Green House. The profits are diverted into the organisation to run the show.
Apart from acute poverty, many of these children are driven to the streets by broken families, abuse at home, fear of studying in government schools, trafficking and illicit connections of the parents.
“We not only counsel the children but also the parents, and urge them not to discontinue the child's education, as we believe that education is the only panacea for upliftment of these children and the society at large,” says Lakshmi, a volunteer.
While Ganesh and Ashok have found a home and a huge team of loving brothers and sisters, there are many who await such a gesture. “If 10 per cent of the youth think of doing something for society,” says Naresh, “there will be a sea change.”"
Public address system for NGO to eradicate alcoholism,Saturday,2012-04-07,TAMIL NADU,[],"Public address system has been given to the Alcoholic Anonymous organisation, which works to eradicate alcoholism habit from society.
Supply of the public address system to the Ngo by the district administration and the police is to help the organisation widen their activities to counter alcoholism.
District administration and police are working in tandem with the organisation to create awareness among the public on the evils of illicit liquor and methanol.
The public address system was donated as part of the programme, a release from the district police here said. District Collector R. Lilly distributed the public address system and also awareness posters on the side-effects of alcoholism at the Collectorate recently.
P. Saravanan, Additional Superintendent of Police of the Prohibition and Enforcement Wing (PEW) of the district police, and other officials accompanied the collector on the occasion, the release added."
Alcoholics Anonymous to hold meetings,Monday,2012-01-23,TAMIL NADU,[]," Anonymous along with its subsidiary group, the AA (Al-Anon) comprising family members of alcoholics who quit alcohol, is planning to arrange a series of interactive meetings in the coming days in which people addicted to alcohol would be enthused to quit by telling them the stories of AA members.
Srinivas, now an active AA group member, narrated to this paper on the sidelines of the inaugural function how an accidental contact with AA movement helped him quit drinking alcohol in 1993 after an addiction for 13 years prior to it.
“I lost 11 jobs in 13 years due to my drinking habit and even became a ‘social outcast' before I ‘started living' again thanks to the AA,” he said.
Those interested could contact AA public information committee (Tel: 99447-07445) to know details of the itinerary of meetings."
Students most vulnerable,Tuesday,2011-12-27,ANDHRA PRADESH,[]," Anonymous centres in the city and every centre has over 20 members, who are trying to recover from the ill effects of drugs. There are many other centres that are operated by other organisations.
It mostly begins at the college level. Though most youngsters from high income groups are getting habituated, those from middle income groups are slowly following suit, he explains. “It is not just students and other professionals, a few from film industry, particularly upcoming artists are also into this menace. A film actor joined us but did not stay for long. Most members inform that they get drugs from foreigners and other agents from Banjara Hills, Dhoolpet, Secunderabad Railway station, Tolichowki and other areas,” says Mr. Shekhar.
The organisation follows a 12-step programme as part of the rehabilitation and all those, who follow the programme, can come out of the habit. Apart from this, all the members are counselled regularly and are provided physical and mental rehabilitation, he says. In the initial days, most members find it difficult and do not open up freely. But after talking to other members and sharing their experiences, they get some confidence and recover fast, he adds. He can be contacted on 98480-58625"
"50-year-old woman, son arrested for murder",Tuesday,2011-12-13,TAMIL NADU,[],"Jaderpalayam police arrested E. Manimegalai (50) and her son E. Ilavarasan (23), of Sakthi Nagar in Sirukinathupalayam Village near Kabilarmalai in Paramathi-Velur Taluk, for allegedly murdering N. Ettikan (60), her husband, during the late hours of Sunday.
According to police, Ettikan, a daily wage labourer, was an alcoholic. On Sunday morning, Ettikan quarrelled with his wife and son. The same night Ilavarasan reportedly hit his father with an iron rod, killing him on the spot.
Ilavarasan and Manimegalai informed their relatives that Etikkan died of a heart attack and they cremated the body at the Sirukinathupalayam crematorium close to midnight on Sunday.
The issue came to light on Monday when Jaderpalayam Police received an anonymous call stating that Ettikan was murdered.
Bbased on a complaint from the Village Administrative Officer, the police searched the house and recovered the blood stained rod. Later, the mother and son reportedly confessed to the crime.
Police personnel said that the nature of injuries could not be confirmed as the body was completely burnt.
The two were booked under sections 302 (murder) and 201 (for destroying evidence) of the Indian Penal Code. They were arrested and produced before the Paramathi Judicial Magistrate and remanded at the Salem Prison."
Raid reveals ‘permanent' residents of guest houses,Wednesday,2011-11-16,KERALA,[],"The Vigilance and Anti-Corruption Bureau (VACB) on Tuesday conducted surprise inspections at 65 government and Public Works Department (PWD) guest houses across the State and said it detected several grave irregularities, including illegal overstay of unauthorised guests.
VACB director-in-charge N. Sankar Reddy ordered the raids code-named “Operation Adithi”. Investigators said some people had appropriated government guest house rooms “permanently”.
A classic case they detected was that of a “self-proclaimed” anti-corruption and human rights campaigner who had a permanent room in a Kochi guest house. The same person had similarly “appropriated” a room at a guest house in the capital, they said.
Investigators, who questioned the staff, said some of them were afraid that the “campaigner” would send anonymous petitions against them to their higher-ups if they denied him the rooms. A wholesale dealer trading electric appliances and crockery had “permanently” converted a guest house room as his office and store.
The VACB said it would recommend to the government to exact rent arrears from such law breakers at “penal” rates for their “unauthorised” stay.
In a guest house in Irinjalakuda in Thrissur district, the agency found that Rs.11,000 remitted as rent by a visiting National School of Drama troupe had not been entered in the register or deposited in the treasury, despite the receptionist handing them a receipt for their payment.
Further enquiry revealed that the staff had appropriated the money by issuing the receipt, but only after ensuring that no carbon copy of it remained in the original bill book. Investigators said that in most rest houses, crockery and bed-spreads bought under the pretext of VIP visits, were pilfered after a single use. The managers of such establishments rarely maintained an inventory of such items. The VACB said that most of guest houses lacked proper house keeping. Many had leaky plumbing, poor electrical works, and rooms infested with cockroaches, bed bugs and rats. Towels and bed spreads given to guests were most often “used and old ones”.
Most guest house managements rarely kept a record of the hours they operated power generators, despite purchasing not less than 500 litres of diesel on most months as generator fuel. The VACB said it found that several managers rented out rooms to guests, often without any record and for short periods, to consume alcohol and hold parties.
‘Canteen owner'
They said the relative of a guest house manager operated a full fledged public canteen in the facility, without government sanction. All his overhead expenses, including power and water, were inadvertently met by the government. Investigators said room rent collected from guests was rarely deposited in treasuries."
This phony game calls for strict action,Thursday,2011-11-10,TAMIL NADU,[],"Sitting inside the dim-lit halls of the 108 Emergency Response Services' call centre in Triplicane, 24-year-old T.Vairamani received a call about a fortnight ago from a little girl who she would later on describe as someone with a “child-like voice”. The girl said her grandmother had died. There was complete silence for the next three seconds.
Even as Ms.Vairamani was preparing to alert an ambulance to triangulate the girl's position and rush to the spot, the voice on the phone laughed heartily and disconnected the call. The girl would call more than a 100 times that day and repeat exactly what she did the first time.
Such nuisance or prank calls have become so common that many of the anonymous voices even have their own nicknames – like Cuddalore Selvam or social service Mariappan. Of the 25,000 medical emergency calls that the toll-free 108 helpline receives from across the State each day, nearly 85 per cent are categorised as “unproductive”.
Children are responsible for the maximum number of nuisance calls, accounting for over two lakh calls in just the last six months. “When school holidays are announced, we go on alert,” says Ms.Vairamani. She has been on the job for two years and she still remembers the first abusive call that she got. “I cried on the floor that day. I guess some men feel powerful when they get to abuse a woman. Drunken persons are especially difficult to handle,” she says.
While most of the abusive calls come from rural areas, the educated urban populace resorts to bomb threats, says Ms.Vairamani, containing a smile.
“The most dangerous and merciless are the hoax calls,” says B. Prabhudoss, regional manager of EMRI, which operates the 108 ambulance service.
All emergency calls received by 108 are passed on to an ambulance. The paramedic in the ambulance then keeps in touch with the caller and if required, gives advice on how to administer first-aid. Hoax callers direct the ambulance towards a false emergency. P.Chandrasekar, an emergency medical technician with the 108 ambulance service, says: “Many times, I have responded to calls about a man or woman fainting on the Marina beach. Initially, the caller would give vague directions and then switch off the phone.” Such calls keeps the ambulance busy instead of it being used for a genuine emergency.
Many repeat callers have been cornered by 108 personnel, but no one admits to the crime. “When we take a list of numbers to the police, they say even their control room number ‘100' gets about 600 prank calls a day,” says Mr. Prabhudoss.
Number portability and other factors have made it difficult to trace every single caller. As a result, even temporary helplines such as the one set up by the Chennai Corporation last month ahead of the civic polls are targeted. “In the long run, we need a regulatory framework to set up mobile phone tracking systems such as the one that 911 [in the US] has,” he says.
For now, in response to a record 1,473 calls made on a single day by a person from Cuddalore, EMRI has set up a system that blocks more than five calls from the same number in a day. “But it is temporary,” Mr.Prabhudoss says. “The number is released within three days. Some of the callers are psychologically depressed or alcoholics. But even they or their family members might face a genuine emergency. It is unfair to block anyone.”"
Rising number of teenagers in metros taking to the bottle,Monday,2011-11-07,KARNATAKA,[]," Anonymous can be contacted on 9845587507 or info@aabangalore.org.
MOHIT M. RAO"
